"opposed"	"ncit"	"year"	"biopharm"
"788"	"not-opposed"	0	1985	0
"789"	"not-opposed"	2	1986	0
"790"	"not-opposed"	4	1986	0
"791"	"opposed"	2	1989	0
"792"	"opposed"	1	1988	0
"793"	"not-opposed"	2	1988	0
"794"	"opposed"	3	1985	1
"795"	"not-opposed"	0	1987	1
"796"	"not-opposed"	8	1988	0
"797"	"not-opposed"	0	1986	0
"798"	"not-opposed"	2	1990	0
"799"	"not-opposed"	2	1985	0
"800"	"not-opposed"	4	1985	1
"801"	"opposed"	8	1988	0
"803"	"not-opposed"	8	1989	0
"804"	"not-opposed"	0	1987	1
"805"	"opposed"	2	1988	1
"806"	"opposed"	0	1988	1
"807"	"not-opposed"	0	1987	0
"808"	"not-opposed"	0	1986	1
"809"	"opposed"	0	1988	0
"810"	"opposed"	7	1988	1
"811"	"not-opposed"	2	1986	0
"812"	"not-opposed"	1	1986	0
"813"	"not-opposed"	1	1986	0
"814"	"not-opposed"	2	1989	0
"815"	"opposed"	4	1989	1
"816"	"opposed"	0	1986	0
"817"	"not-opposed"	1	1986	0
"818"	"opposed"	3	1985	1
"819"	"not-opposed"	2	1987	0
"820"	"opposed"	7	1986	1
"821"	"opposed"	0	1985	0
"822"	"not-opposed"	2	1989	0
"823"	"not-opposed"	8	1990	0
"824"	"opposed"	2	1986	0
"825"	"not-opposed"	0	1986	1
"826"	"not-opposed"	2	1989	0
"827"	"opposed"	1	1987	1
"828"	"opposed"	0	1986	0
"829"	"not-opposed"	5	1986	0
"830"	"not-opposed"	1	1991	0
"831"	"not-opposed"	2	1988	0
"832"	"opposed"	1	1988	0
"833"	"opposed"	5	1986	0
"834"	"not-opposed"	3	1989	0
"835"	"opposed"	7	1987	0
"836"	"opposed"	2	1987	1
"837"	"opposed"	0	1987	0
"838"	"not-opposed"	3	1989	1
"839"	"opposed"	6	1989	1
"840"	"not-opposed"	2	1986	1
"841"	"opposed"	0	1986	0
"842"	"not-opposed"	4	1986	0
"843"	"not-opposed"	2	1986	0
"844"	"opposed"	3	1985	1
"845"	"opposed"	3	1984	1
"846"	"opposed"	3	1984	1
"847"	"not-opposed"	2	1989	0
"848"	"not-opposed"	0	1985	0
"849"	"not-opposed"	1	1986	0
"850"	"not-opposed"	0	1985	0
"851"	"not-opposed"	0	1987	0
"852"	"not-opposed"	9	1987	1
"853"	"opposed"	9	1988	1
"854"	"opposed"	4	1985	1
"855"	"not-opposed"	7	1986	0
"856"	"not-opposed"	1	1985	0
"857"	"not-opposed"	0	1987	1
"858"	"opposed"	0	1986	0
"859"	"opposed"	4	1986	0
"860"	"not-opposed"	1	1991	0
"861"	"not-opposed"	2	1986	0
"862"	"not-opposed"	0	1986	1
"863"	"not-opposed"	2	1985	1
"864"	"opposed"	3	1985	0
"865"	"opposed"	4	1988	1
"866"	"opposed"	3	1986	0
"867"	"not-opposed"	0	1985	1
"868"	"opposed"	0	1988	0
"869"	"opposed"	5	1985	0
"870"	"opposed"	4	1992	1
"871"	"not-opposed"	0	1988	1
"872"	"not-opposed"	4	1985	1
"873"	"opposed"	3	1987	0
"874"	"opposed"	2	1986	1
"875"	"not-opposed"	0	1986	1
"876"	"opposed"	0	1986	0
"877"	"opposed"	1	1987	0
"878"	"opposed"	1	1984	0
"879"	"opposed"	4	1989	1
"880"	"not-opposed"	0	1988	0
"881"	"not-opposed"	0	1986	1
"882"	"opposed"	11	1986	1
"884"	"not-opposed"	0	1986	0
"885"	"not-opposed"	2	1988	0
"886"	"opposed"	2	1985	0
"887"	"opposed"	0	1987	1
"888"	"opposed"	6	1985	1
"889"	"not-opposed"	1	1988	0
"890"	"opposed"	5	1989	1
"891"	"not-opposed"	2	1987	1
"892"	"opposed"	1	1988	0
"893"	"opposed"	7	1987	0
"894"	"opposed"	0	1988	0
"895"	"opposed"	1	1988	1
"896"	"opposed"	2	1987	1
"897"	"opposed"	2	1986	1
"898"	"not-opposed"	0	1988	0
"899"	"opposed"	4	1989	1
"900"	"opposed"	4	1988	0
"901"	"opposed"	2	1987	0
"902"	"opposed"	4	1986	1
"903"	"opposed"	4	1986	1
"904"	"opposed"	1	1988	1
"905"	"not-opposed"	3	1986	0
"906"	"not-opposed"	5	1988	1
"907"	"opposed"	0	1985	0
"908"	"not-opposed"	1	1987	1
"909"	"not-opposed"	3	1986	0
"910"	"not-opposed"	0	1989	0
"911"	"not-opposed"	0	1987	0
"912"	"opposed"	0	1989	1
"913"	"not-opposed"	3	1987	0
"914"	"not-opposed"	1	1987	0
"915"	"not-opposed"	1	1991	0
"916"	"not-opposed"	0	1987	0
"917"	"not-opposed"	0	1989	0
"918"	"opposed"	14	1991	1
"919"	"not-opposed"	4	1988	1
"920"	"opposed"	3	1989	1
"921"	"opposed"	1	1987	1
"922"	"opposed"	1	1987	1
"923"	"not-opposed"	8	1989	0
"924"	"not-opposed"	3	1986	0
"925"	"not-opposed"	0	1986	0
"926"	"not-opposed"	2	1990	1
"927"	"not-opposed"	5	1987	0
"928"	"opposed"	2	1986	0
"929"	"not-opposed"	1	1988	0
"930"	"not-opposed"	0	1986	0
"931"	"not-opposed"	0	1988	0
"932"	"not-opposed"	0	1990	0
"933"	"not-opposed"	0	1988	0
"934"	"opposed"	6	1988	0
"935"	"opposed"	3	1989	1
"936"	"opposed"	1	1988	0
"937"	"opposed"	3	1990	1
"938"	"opposed"	2	1988	0
"939"	"not-opposed"	1	1988	0
"941"	"not-opposed"	4	1987	1
"942"	"not-opposed"	1	1987	0
"943"	"opposed"	1	1988	0
"944"	"opposed"	2	1986	0
"945"	"not-opposed"	1	1988	0
"946"	"not-opposed"	3	1986	0
"947"	"opposed"	8	1985	1
"948"	"not-opposed"	4	1989	0
"949"	"not-opposed"	2	1985	0
"950"	"opposed"	5	1984	1
"951"	"not-opposed"	13	1986	0
"952"	"opposed"	3	1986	1
"953"	"opposed"	4	1985	0
"954"	"not-opposed"	0	1985	0
"955"	"not-opposed"	0	1988	0
"956"	"not-opposed"	0	1985	0
"957"	"opposed"	1	1984	0
"958"	"not-opposed"	1	1985	0
"959"	"opposed"	1	1987	1
"960"	"not-opposed"	0	1985	0
"961"	"not-opposed"	2	1986	0
"962"	"opposed"	1	1988	0
"963"	"not-opposed"	1	1988	1
"964"	"not-opposed"	0	1986	0
"966"	"not-opposed"	4	1991	1
"967"	"not-opposed"	0	1986	1
"968"	"not-opposed"	0	1987	0
"969"	"opposed"	7	1986	1
"970"	"opposed"	1	1985	0
"971"	"opposed"	1	1985	0
"972"	"opposed"	3	1984	0
"973"	"not-opposed"	0	1988	1
"974"	"not-opposed"	0	1988	1
"975"	"not-opposed"	4	1987	0
"976"	"not-opposed"	0	1988	0
"977"	"not-opposed"	0	1986	0
"978"	"not-opposed"	0	1986	0
"979"	"opposed"	0	1987	0
"980"	"opposed"	6	1988	1
"981"	"opposed"	0	1989	0
"982"	"opposed"	0	1989	1
"983"	"not-opposed"	0	1988	0
"984"	"not-opposed"	0	1990	1
"985"	"not-opposed"	0	1987	0
"986"	"opposed"	0	1986	1
"987"	"not-opposed"	0	1986	0
"988"	"not-opposed"	0	1987	1
"989"	"opposed"	0	1986	0
"990"	"opposed"	0	1990	1
"991"	"not-opposed"	0	1988	0
"992"	"not-opposed"	0	1986	0
"993"	"not-opposed"	0	1987	0
"994"	"not-opposed"	1	1990	0
"995"	"opposed"	0	1987	1
"996"	"opposed"	0	1987	0
"997"	"opposed"	0	1987	1
"998"	"opposed"	0	1987	0
"999"	"opposed"	0	1987	0
"1000"	"not-opposed"	2	1987	0
"1001"	"not-opposed"	0	1987	1
"1002"	"opposed"	0	1987	0
"1003"	"not-opposed"	0	1986	0
"1004"	"not-opposed"	2	1986	0
"1005"	"not-opposed"	1	1986	1
"1006"	"opposed"	3	1988	1
"1007"	"not-opposed"	1	1986	0
"1008"	"opposed"	3	1986	0
"1009"	"not-opposed"	4	1989	0
"1011"	"opposed"	2	1988	0
"1012"	"not-opposed"	1	1991	1
"1013"	"opposed"	5	1990	0
"1014"	"opposed"	0	1988	0
"1015"	"not-opposed"	1	1987	0
"1016"	"opposed"	3	1986	0
"1017"	"not-opposed"	7	1990	1
"1018"	"opposed"	0	1987	1
"1019"	"not-opposed"	0	1991	0
"1020"	"opposed"	5	1992	1
"1021"	"opposed"	2	1986	0
"1022"	"not-opposed"	0	1990	0
"1023"	"opposed"	2	1988	0
"1024"	"not-opposed"	4	1988	0
"1025"	"not-opposed"	0	1986	0
"1026"	"not-opposed"	0	1986	0
"1027"	"opposed"	8	1995	1
"1028"	"opposed"	10	1986	0
"1029"	"not-opposed"	1	1988	1
"1030"	"not-opposed"	7	1989	0
"1031"	"opposed"	1	1986	1
"1032"	"opposed"	3	1986	0
"1033"	"not-opposed"	0	1988	1
"1034"	"opposed"	2	1988	0
"1035"	"not-opposed"	0	1987	0
"1036"	"not-opposed"	11	1989	1
"1037"	"not-opposed"	5	1990	1
"1038"	"not-opposed"	0	1991	0
"1039"	"opposed"	5	1989	0
"1040"	"not-opposed"	2	1987	1
"1041"	"opposed"	0	1988	1
"1042"	"not-opposed"	0	1986	0
"1043"	"not-opposed"	0	1987	0
"1044"	"opposed"	3	1990	0
"1045"	"not-opposed"	0	1989	0
"1046"	"not-opposed"	2	1991	1
"1047"	"opposed"	1	1987	0
"1048"	"opposed"	1	1986	0
"1049"	"not-opposed"	0	1988	0
"1050"	"not-opposed"	3	1992	0
"1051"	"not-opposed"	1	1987	0
"1052"	"not-opposed"	0	1986	0
"1053"	"opposed"	0	1989	0
"1054"	"opposed"	0	1989	0
"1055"	"opposed"	0	1988	1
"1056"	"not-opposed"	1	1987	0
"1057"	"not-opposed"	0	1989	0
"1058"	"not-opposed"	2	1989	0
"1059"	"not-opposed"	0	1988	1
"1060"	"not-opposed"	1	1987	0
"1061"	"not-opposed"	1	1987	0
"1062"	"opposed"	6	1988	1
"1063"	"opposed"	2	1989	0
"1064"	"not-opposed"	2	1990	0
"1065"	"not-opposed"	1	1986	0
"1066"	"opposed"	2	1990	1
"1067"	"not-opposed"	3	1986	1
"1068"	"not-opposed"	3	1991	0
"1069"	"not-opposed"	2	1988	0
"1070"	"opposed"	3	1990	1
"1071"	"opposed"	0	1990	1
"1072"	"not-opposed"	0	1987	0
"1073"	"opposed"	6	1990	1
"1074"	"not-opposed"	2	1987	1
"1075"	"not-opposed"	1	1988	1
"1076"	"not-opposed"	0	1987	0
"1077"	"opposed"	1	1989	0
"1078"	"opposed"	3	1988	0
"1079"	"not-opposed"	0	1990	0
"1080"	"opposed"	4	1989	1
"1081"	"opposed"	3	1989	1
"1082"	"not-opposed"	0	1989	0
"1083"	"not-opposed"	4	1987	0
"1084"	"not-opposed"	1	1991	1
"1085"	"opposed"	0	1986	0
"1086"	"opposed"	2	1986	0
"1087"	"not-opposed"	0	1987	0
"1088"	"not-opposed"	2	1991	1
"1089"	"opposed"	0	1988	0
"1090"	"opposed"	1	1986	0
"1091"	"opposed"	2	1989	0
"1092"	"not-opposed"	2	1988	0
"1093"	"opposed"	1	1990	1
"1094"	"not-opposed"	0	1986	1
"1096"	"not-opposed"	1	1987	0
"1097"	"opposed"	4	1987	1
"1098"	"not-opposed"	1	1988	0
"1099"	"not-opposed"	1	1989	1
"1100"	"opposed"	0	1992	0
"1101"	"opposed"	2	1987	0
"1102"	"opposed"	9	1988	0
"1103"	"opposed"	3	1986	0
"1104"	"opposed"	2	1988	1
"1105"	"opposed"	0	1986	0
"1106"	"opposed"	4	1991	1
"1107"	"opposed"	0	1987	0
"1108"	"not-opposed"	1	1987	0
"1109"	"opposed"	3	1991	1
"1110"	"not-opposed"	1	1988	0
"1111"	"not-opposed"	0	1990	0
"1112"	"not-opposed"	0	1989	0
"1113"	"not-opposed"	0	1987	0
"1114"	"not-opposed"	0	1988	1
"1115"	"not-opposed"	8	1989	0
"1116"	"not-opposed"	2	1988	0
"1118"	"opposed"	3	1987	0
"1119"	"opposed"	0	1990	1
"1120"	"opposed"	0	1987	1
"1121"	"not-opposed"	3	1989	0
"1122"	"not-opposed"	2	1991	1
"1123"	"not-opposed"	1	1987	0
"1124"	"not-opposed"	1	1991	0
"1125"	"not-opposed"	3	1989	0
"1126"	"not-opposed"	3	1988	1
"1127"	"opposed"	3	1987	1
"1128"	"opposed"	1	1986	0
"1129"	"opposed"	2	1992	1
"1130"	"opposed"	2	1987	0
"1131"	"opposed"	2	1986	0
"1132"	"not-opposed"	3	1990	0
"1133"	"not-opposed"	0	1990	0
"1134"	"not-opposed"	1	1987	0
"1135"	"not-opposed"	3	1990	0
"1136"	"not-opposed"	1	1988	0
"1137"	"not-opposed"	2	1988	0
"1138"	"not-opposed"	1	1990	0
"1139"	"opposed"	13	1989	1
"1140"	"not-opposed"	2	1989	0
"1141"	"not-opposed"	1	1989	0
"1142"	"opposed"	1	1987	0
"1143"	"not-opposed"	3	1990	0
"1144"	"opposed"	0	1988	0
"1145"	"opposed"	6	1987	0
"1146"	"opposed"	5	1989	0
"1147"	"not-opposed"	3	1991	0
"1148"	"not-opposed"	3	1988	1
"1149"	"not-opposed"	0	1988	0
"1150"	"not-opposed"	1	1987	0
"1151"	"not-opposed"	1	1990	1
"1152"	"not-opposed"	2	1986	1
"1153"	"not-opposed"	0	1989	1
"1154"	"opposed"	3	1989	1
"1155"	"opposed"	1	1987	1
"1156"	"not-opposed"	6	1989	1
"1157"	"opposed"	11	1988	1
"1158"	"not-opposed"	2	1987	0
"1159"	"not-opposed"	0	1991	1
"1160"	"opposed"	0	1986	1
"1161"	"opposed"	1	1988	1
"1162"	"not-opposed"	0	1988	0
"1163"	"not-opposed"	3	1988	0
"1164"	"not-opposed"	2	1989	0
"1165"	"not-opposed"	1	1988	0
"1166"	"not-opposed"	0	1987	0
"1167"	"not-opposed"	1	1989	1
"1168"	"opposed"	1	1991	0
"1169"	"not-opposed"	13	1990	1
"1170"	"not-opposed"	0	1988	1
"1171"	"not-opposed"	5	1986	0
"1172"	"not-opposed"	5	1987	0
"1173"	"opposed"	2	1989	1
"1174"	"not-opposed"	0	1989	0
"1175"	"opposed"	4	1987	1
"1176"	"opposed"	0	1988	0
"1177"	"opposed"	10	1987	1
"1178"	"opposed"	10	1988	1
"1179"	"opposed"	4	1989	1
"1180"	"opposed"	9	1988	1
"1181"	"opposed"	5	1989	1
"1182"	"not-opposed"	5	1988	0
"1183"	"opposed"	1	1986	1
"1184"	"not-opposed"	1	1986	1
"1185"	"opposed"	3	1988	1
"1186"	"opposed"	5	1992	1
"1187"	"not-opposed"	1	1986	0
"1188"	"not-opposed"	4	1990	0
"1189"	"not-opposed"	0	1987	1
"1191"	"not-opposed"	0	1986	1
"1192"	"opposed"	6	1988	1
"1193"	"opposed"	6	1989	1
"1194"	"not-opposed"	2	1986	0
"1195"	"not-opposed"	1	1991	1
"1196"	"opposed"	2	1987	1
"1197"	"opposed"	6	1987	1
"1198"	"opposed"	0	1990	1
"1199"	"not-opposed"	12	1992	0
"1200"	"opposed"	2	1989	0
"1201"	"opposed"	14	1991	1
"1203"	"not-opposed"	0	1990	0
"1204"	"opposed"	1	1986	1
"1205"	"opposed"	0	1989	0
"1206"	"not-opposed"	1	1988	1
"1207"	"not-opposed"	0	1989	0
"1208"	"not-opposed"	1	1988	0
"1209"	"opposed"	1	1986	0
"1210"	"not-opposed"	2	1990	1
"1211"	"opposed"	2	1987	0
"1212"	"not-opposed"	0	1988	1
"1213"	"not-opposed"	0	1991	1
"1214"	"opposed"	6	1990	0
"1215"	"opposed"	4	1995	1
"1216"	"not-opposed"	1	1990	1
"1217"	"not-opposed"	3	1989	0
"1218"	"opposed"	8	1987	1
"1219"	"not-opposed"	0	1987	0
"1220"	"not-opposed"	0	1990	0
"1221"	"opposed"	5	1991	1
"1222"	"opposed"	1	1988	1
"1223"	"opposed"	1	1988	0
"1224"	"not-opposed"	2	1989	1
"1225"	"opposed"	3	1988	1
"1226"	"not-opposed"	0	1989	0
"1227"	"opposed"	3	1991	1
"1228"	"opposed"	0	1987	0
"1230"	"not-opposed"	7	1989	1
"1231"	"not-opposed"	2	1987	0
"1232"	"not-opposed"	0	1988	0
"1233"	"not-opposed"	4	1991	1
"1234"	"opposed"	3	1987	0
"1235"	"not-opposed"	5	1987	1
"1236"	"opposed"	3	1988	0
"1237"	"not-opposed"	0	1987	0
"1238"	"not-opposed"	4	1992	0
"1239"	"opposed"	1	1988	1
"1240"	"not-opposed"	1	1989	1
"1241"	"opposed"	1	1988	0
"1242"	"opposed"	3	1987	1
"1243"	"opposed"	2	1987	0
"1244"	"not-opposed"	1	1990	0
"1245"	"not-opposed"	3	1990	0
"1246"	"opposed"	1	1990	0
"1247"	"opposed"	3	1991	1
"1248"	"not-opposed"	2	1989	0
"1249"	"not-opposed"	2	1988	0
"1250"	"not-opposed"	3	1989	0
"1251"	"not-opposed"	6	1988	1
"1252"	"opposed"	10	1989	1
"1253"	"opposed"	11	1992	1
"1254"	"opposed"	4	1988	0
"1255"	"not-opposed"	1	1990	0
"1256"	"opposed"	2	1992	0
"1257"	"opposed"	0	1990	1
"1258"	"not-opposed"	2	1987	0
"1259"	"not-opposed"	0	1991	0
"1260"	"not-opposed"	1	1985	1
"1261"	"opposed"	4	1986	0
"1262"	"not-opposed"	2	1988	0
"1263"	"not-opposed"	0	1986	0
"1264"	"not-opposed"	7	1987	1
"1265"	"not-opposed"	0	1987	0
"1266"	"not-opposed"	0	1986	0
"1267"	"not-opposed"	1	1987	0
"1268"	"not-opposed"	1	1989	0
"1269"	"not-opposed"	2	1989	1
"1270"	"opposed"	0	1990	0
"1271"	"not-opposed"	3	1987	0
"1272"	"not-opposed"	1	1987	0
"1273"	"not-opposed"	3	1987	0
"1274"	"not-opposed"	1	1987	0
"1275"	"not-opposed"	0	1986	1
"1276"	"opposed"	1	1987	0
"1277"	"not-opposed"	0	1988	0
"1278"	"not-opposed"	4	1990	0
"1279"	"not-opposed"	2	1990	0
"1280"	"opposed"	3	1991	1
"1281"	"not-opposed"	1	1990	0
"1282"	"not-opposed"	5	1990	0
"1283"	"not-opposed"	4	1988	0
"1284"	"not-opposed"	6	1986	0
"1285"	"not-opposed"	0	1987	0
"1286"	"not-opposed"	2	1988	1
"1287"	"opposed"	5	1987	0
"1288"	"opposed"	6	1988	1
"1289"	"opposed"	0	1987	0
"1290"	"not-opposed"	0	1987	0
"1291"	"opposed"	4	1989	1
"1292"	"not-opposed"	0	1988	0
"1293"	"opposed"	0	1990	1
"1294"	"opposed"	2	1988	0
"1295"	"opposed"	5	1987	1
"1296"	"opposed"	5	1988	1
"1297"	"not-opposed"	0	1992	1
"1298"	"opposed"	0	1986	1
"1299"	"not-opposed"	1	1989	1
"1300"	"not-opposed"	0	1987	0
"1301"	"not-opposed"	0	1986	0
"1302"	"opposed"	0	1992	1
"1303"	"opposed"	0	1990	1
"1304"	"opposed"	0	1990	1
"1305"	"not-opposed"	0	1987	0
"1306"	"opposed"	0	1990	0
"1307"	"not-opposed"	0	1989	0
"1308"	"opposed"	0	1989	1
"1309"	"not-opposed"	0	1989	1
"1310"	"not-opposed"	0	1988	0
"1311"	"opposed"	0	1990	1
"1312"	"opposed"	0	1988	1
"1314"	"opposed"	0	1990	1
"1315"	"opposed"	0	1989	1
"1316"	"not-opposed"	0	1990	0
"1317"	"not-opposed"	0	1987	0
"1318"	"not-opposed"	0	1989	0
"1319"	"opposed"	0	1987	0
"1320"	"opposed"	0	1989	0
"1321"	"not-opposed"	0	1992	0
"1322"	"opposed"	0	1990	1
"1323"	"not-opposed"	0	1991	0
"1324"	"opposed"	0	1991	1
"1325"	"opposed"	0	1988	0
"1326"	"opposed"	0	1987	0
"1327"	"opposed"	0	1987	0
"1328"	"not-opposed"	0	1986	0
"1329"	"opposed"	0	1990	0
"1330"	"opposed"	11	1991	1
"1331"	"not-opposed"	3	1989	1
"1332"	"opposed"	3	1988	1
"1333"	"opposed"	2	1989	1
"1334"	"not-opposed"	0	1989	1
"1335"	"not-opposed"	0	1989	0
"1336"	"not-opposed"	1	1988	0
"1337"	"not-opposed"	1	1989	0
"1338"	"not-opposed"	3	1989	1
"1339"	"not-opposed"	3	1988	1
"1340"	"not-opposed"	0	1990	0
"1341"	"not-opposed"	1	1990	0
"1342"	"not-opposed"	3	1988	1
"1343"	"opposed"	12	1993	1
"1344"	"not-opposed"	0	1990	0
"1345"	"not-opposed"	1	1990	0
"1346"	"not-opposed"	2	1988	0
"1347"	"not-opposed"	9	1990	1
"1348"	"opposed"	6	1989	1
"1349"	"opposed"	2	1987	1
"1350"	"not-opposed"	3	1988	0
"1351"	"opposed"	7	1992	1
"1352"	"not-opposed"	0	1991	0
"1353"	"opposed"	5	1990	1
"1354"	"not-opposed"	2	1991	0
"1355"	"opposed"	3	1988	0
"1356"	"opposed"	1	1991	0
"1357"	"not-opposed"	0	1991	0
"1358"	"opposed"	3	1991	1
"1359"	"opposed"	0	1988	0
"1360"	"opposed"	1	1987	1
"1361"	"opposed"	4	1989	0
"1362"	"opposed"	0	1988	0
"1363"	"opposed"	6	1989	0
"1364"	"not-opposed"	2	1991	1
"1365"	"opposed"	1	1989	1
"1366"	"opposed"	1	1989	0
"1367"	"not-opposed"	1	1993	0
"1368"	"opposed"	2	1989	0
"1369"	"not-opposed"	0	1988	0
"1370"	"not-opposed"	4	1992	1
"1371"	"not-opposed"	3	1988	0
"1372"	"opposed"	2	1990	0
"1373"	"opposed"	0	1988	0
"1374"	"not-opposed"	3	1990	0
"1375"	"opposed"	7	1991	1
"1376"	"opposed"	3	1990	1
"1377"	"opposed"	3	1990	1
"1378"	"not-opposed"	3	1991	0
"1379"	"not-opposed"	1	1989	1
"1380"	"not-opposed"	3	1987	0
"1381"	"not-opposed"	8	1990	0
"1382"	"not-opposed"	6	1990	1
"1383"	"not-opposed"	5	1990	1
"1384"	"not-opposed"	1	1989	0
"1385"	"opposed"	8	1987	0
"1386"	"opposed"	2	1990	0
"1387"	"opposed"	1	1991	0
"1388"	"not-opposed"	0	1990	0
"1389"	"not-opposed"	0	1988	0
"1390"	"not-opposed"	2	1991	0
"1391"	"opposed"	4	1989	1
"1392"	"not-opposed"	1	1989	1
"1393"	"opposed"	3	1988	1
"1394"	"opposed"	4	1991	1
"1395"	"not-opposed"	1	1990	0
"1396"	"not-opposed"	5	1991	0
"1397"	"not-opposed"	0	1988	0
"1398"	"not-opposed"	3	1991	1
"1399"	"opposed"	4	1991	1
"1400"	"not-opposed"	0	1987	0
"1401"	"not-opposed"	0	1987	0
"1402"	"not-opposed"	1	1991	0
"1403"	"opposed"	0	1990	1
"1404"	"not-opposed"	1	1990	1
"1405"	"opposed"	1	1990	0
"1406"	"not-opposed"	2	1988	0
"1407"	"not-opposed"	0	1989	0
"1408"	"not-opposed"	1	1990	0
"1409"	"opposed"	1	1989	0
"1410"	"opposed"	1	1990	0
"1411"	"not-opposed"	2	1991	0
"1412"	"not-opposed"	0	1988	0
"1413"	"opposed"	3	1990	1
"1414"	"opposed"	3	1990	0
"1415"	"opposed"	1	1987	1
"1416"	"not-opposed"	6	1989	0
"1417"	"not-opposed"	1	1988	0
"1418"	"opposed"	1	1990	0
"1419"	"opposed"	1	1990	0
"1420"	"opposed"	7	1988	0
"1421"	"opposed"	4	1988	0
"1422"	"opposed"	1	1989	1
"1423"	"not-opposed"	1	1988	1
"1424"	"not-opposed"	1	1988	1
"1425"	"opposed"	5	1989	1
"1426"	"not-opposed"	2	1989	0
"1427"	"opposed"	0	1990	0
"1428"	"opposed"	5	1989	1
"1429"	"not-opposed"	1	1989	1
"1430"	"not-opposed"	1	1989	0
"1431"	"not-opposed"	1	1991	0
"1432"	"not-opposed"	10	1988	0
"1433"	"opposed"	3	1991	1
"1434"	"opposed"	0	1990	0
"1435"	"opposed"	8	1990	0
"1436"	"opposed"	4	1992	1
"1437"	"opposed"	4	1991	1
"1438"	"opposed"	4	1988	1
"1439"	"opposed"	12	1990	1
"1440"	"not-opposed"	0	1988	1
"1441"	"not-opposed"	1	1989	0
"1442"	"opposed"	3	1988	0
"1443"	"opposed"	1	1989	1
"1444"	"not-opposed"	4	1991	1
"1445"	"not-opposed"	0	1988	0
"1446"	"opposed"	2	1989	1
"1447"	"opposed"	3	1990	1
"1448"	"opposed"	2	1991	0
"1449"	"opposed"	3	1988	0
"1450"	"not-opposed"	1	1992	0
"1451"	"opposed"	13	1991	1
"1452"	"not-opposed"	0	1991	1
"1453"	"not-opposed"	0	1990	0
"1454"	"not-opposed"	4	1988	0
"1455"	"opposed"	2	1988	0
"1456"	"opposed"	2	1991	0
"1457"	"not-opposed"	0	1991	0
"1458"	"not-opposed"	2	1989	0
"1459"	"not-opposed"	0	1989	0
"1460"	"not-opposed"	2	1991	0
"1461"	"not-opposed"	2	1994	0
"1462"	"opposed"	3	1989	0
"1463"	"opposed"	6	1988	1
"1464"	"opposed"	6	1988	1
"1465"	"opposed"	4	1988	1
"1466"	"opposed"	7	1991	1
"1467"	"not-opposed"	4	1990	0
"1468"	"not-opposed"	2	1990	0
"1469"	"opposed"	0	1988	0
"1470"	"not-opposed"	6	1990	1
"1471"	"not-opposed"	0	1989	0
"1472"	"not-opposed"	3	1991	0
"1473"	"not-opposed"	1	1992	0
"1474"	"not-opposed"	0	1989	1
"1475"	"not-opposed"	1	1990	0
"1476"	"not-opposed"	7	1991	1
"1477"	"not-opposed"	0	1988	0
"1478"	"opposed"	4	1989	0
"1479"	"not-opposed"	1	1990	1
"1480"	"opposed"	5	1991	0
"1481"	"not-opposed"	0	1990	0
"1482"	"opposed"	4	1995	1
"1483"	"not-opposed"	1	1992	0
"1484"	"not-opposed"	2	1990	0
"1485"	"not-opposed"	1	1990	0
"1486"	"opposed"	1	1989	0
"1487"	"not-opposed"	1	1989	1
"1488"	"not-opposed"	3	1993	0
"1489"	"not-opposed"	0	1989	0
"1490"	"opposed"	4	1992	0
"1491"	"not-opposed"	1	1988	0
"1492"	"not-opposed"	1	1991	0
"1493"	"not-opposed"	6	1991	1
"1494"	"opposed"	5	1989	1
"1495"	"not-opposed"	0	1990	0
"1496"	"opposed"	2	1990	0
"1497"	"opposed"	1	1989	1
"1498"	"not-opposed"	0	1990	0
"1499"	"not-opposed"	0	1989	0
"1500"	"not-opposed"	3	1988	0
"1501"	"opposed"	1	1986	0
"1502"	"not-opposed"	1	1991	1
"1503"	"not-opposed"	0	1988	0
"1504"	"not-opposed"	3	1988	0
"1505"	"not-opposed"	1	1989	0
"1506"	"not-opposed"	3	1989	1
"1507"	"not-opposed"	0	1988	0
"1508"	"not-opposed"	10	1990	1
"1509"	"not-opposed"	2	1988	0
"1510"	"not-opposed"	1	1988	0
"1511"	"not-opposed"	0	1988	1
"1512"	"not-opposed"	8	1992	0
"1513"	"opposed"	1	1989	1
"1514"	"opposed"	2	1991	1
"1515"	"not-opposed"	2	1988	0
"1516"	"opposed"	0	1988	0
"1517"	"not-opposed"	0	1990	0
"1518"	"not-opposed"	6	1990	1
"1519"	"opposed"	4	1989	0
"1520"	"opposed"	6	1991	0
"1521"	"not-opposed"	3	1990	0
"1522"	"not-opposed"	0	1988	0
"1523"	"opposed"	3	1990	0
"1524"	"not-opposed"	1	1987	0
"1525"	"opposed"	7	1991	1
"1526"	"opposed"	5	1991	0
"1527"	"opposed"	1	1989	0
"1528"	"opposed"	4	1989	1
"1529"	"not-opposed"	1	1988	0
"1530"	"opposed"	0	1990	1
"1531"	"not-opposed"	1	1990	0
"1532"	"not-opposed"	2	1990	0
"1533"	"opposed"	2	1990	1
"1534"	"not-opposed"	2	1991	1
"1535"	"not-opposed"	2	1990	0
"1536"	"not-opposed"	3	1991	0
"1537"	"not-opposed"	0	1990	0
"1538"	"opposed"	12	1990	1
"1539"	"opposed"	3	1988	0
"1540"	"opposed"	1	1991	0
